season,date,season.week,total.cases
2013,11/2/2013,44,457
2013,11/9/2013,45,401
2013,11/16/2013,46,442
2013,11/23/2013,47,365
2013,11/30/2013,48,372
2013,12/7/2013,49,347
2013,12/14/2013,50,380
2013,12/21/2013,51,371
2013,12/28/2013,52,414
2014,1/4/2014,1,436
2014,1/11/2014,2,479
2014,1/18/2014,3,401
2014,1/25/2014,4,336
2014,2/1/2014,5,234
2014,2/8/2014,6,273
2014,2/15/2014,7,369
2014,2/22/2014,8,193
2014,3/1/2014,9,186
2014,3/8/2014,10,209
2014,3/15/2014,11,224
2014,3/22/2014,12,210
2014,3/29/2014,13,225
2014,4/5/2014,14,240
2014,4/12/2014,15,244
2014,4/19/2014,16,235
2014,4/26/2014,17,282
2014,5/3/2014,18,251
2014,5/10/2014,19,261
2014,5/17/2014,20,291
2014,5/24/2014,21,427
2014,5/31/2014,22,456
2014,6/7/2014,23,458
2014,6/14/2014,24,506
2014,6/21/2014,25,550
2014,6/28/2014,26,671
2014,7/5/2014,27,888
2014,7/12/2014,28,818
2014,7/19/2014,29,744
2014,7/26/2014,30,633
2014,8/2/2014,31,484
2014,8/9/2014,32,545
2014,8/16/2014,33,438
2014,8/23/2014,34,418
2014,8/30/2014,35,367
2014,9/6/2014,36,339
2014,9/13/2014,37,362
2014,9/20/2014,38,396
2014,9/27/2014,39,344
2014,10/4/2014,40,339
2014,10/11/2014,41,278
2014,10/18/2014,42,297
2014,10/25/2014,43,213
2014,11/1/2014,44,186
2014,11/8/2014,45,168
2014,11/15/2014,46,158
2014,11/22/2014,47,149
2014,11/29/2014,48,162
2014,12/6/2014,49,212
2014,12/13/2014,50,177
2014,12/20/2014,51,198
2014,12/27/2014,52,188
2015,1/3/2015,53,158
2015,1/10/2015,1,256
2015,1/17/2015,2,228
2015,1/24/2015,3,237
2015,1/31/2015,4,259
2015,2/7/2015,5,212
2015,2/14/2015,6,173
2015,2/21/2015,7,99
2015,2/28/2015,8,172
2015,3/7/2015,9,189
2015,3/14/2015,10,110
2015,3/21/2015,11,91
2015,3/28/2015,12,129
2015,4/4/2015,13,90
2015,4/11/2015,14,107
2015,4/18/2015,15,137
2015,4/25/2015,16,113
2015,5/2/2015,17,120
2015,5/9/2015,18,135
2015,5/16/2015,19,157
2015,5/23/2015,20,109
2015,5/30/2015,21,178
2015,6/6/2015,22,151
2015,6/13/2015,23,192
2015,6/20/2015,24,207
2015,6/27/2015,25,240
2015,7/4/2015,26,242
2015,7/11/2015,27,272
2015,7/18/2015,28,263
2015,7/25/2015,29,293
2015,8/1/2015,30,250
2015,8/8/2015,31,226
2015,8/15/2015,32,221
2015,8/22/2015,33,250
2015,8/29/2015,34,225
2015,9/5/2015,35,246
2015,9/12/2015,36,217
2015,9/19/2015,37,303
2015,9/26/2015,38,214
2015,10/3/2015,39,257
2015,10/10/2015,40,235
2015,10/17/2015,41,235
2015,10/24/2015,42,224
2015,10/31/2015,43,246
2015,11/7/2015,44,266
2015,11/14/2015,45,198
